District,candidate_name,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
House District 16,"VIGIL, STEPHANIE",27.31,2025-07-16 00:00:00,Mailchimp,Atlanta,GA,30308,Rent & Utilities,
House District 16,"VIGIL, STEPHANIE",3045.0,2025-07-29 00:00:00,Pe Strategies,Colorado Springs,CO,80916,Consultant & Professional Services,Campaign Management
House District 16,"VIGIL, STEPHANIE",348.0,2025-08-01 00:00:00,Wix.Com 1191200493 Www.Wix.Com Ca 08/01/25 Card 4056 Visa Check,San Francisco,CA,,Rent & Utilities,
House District 16,"VIGIL, STEPHANIE",10.3,2025-08-02 00:00:00,Google,Mountain View,CA,94043,Rent & Utilities,
House District 16,"VIGIL, STEPHANIE",1.03,2025-08-08 00:00:00,Square,San Francisco,CA,94103,Bank Fees,Processing Fee
House District 16,"VIGIL, STEPHANIE",378.9,2025-08-11 00:00:00,Stephanie  Vigil,Colorado Springs,CO,80909,Fundraising Expenses,Reimbursement For Printing Expenses Paid Out Of Pocket
House District 16,"VIGIL, STEPHANIE",27.31,2025-08-16 00:00:00,Mailchimp,Atlanta,GA,30308,Rent & Utilities,
House District 16,"VIGIL, STEPHANIE",10.3,2025-09-02 00:00:00,Google,Mountain View,CA,94043,Rent & Utilities,
House District 16,"VIGIL, STEPHANIE",27.31,2025-09-16 00:00:00,Mailchimp,Atlanta,GA,30308,Rent & Utilities,
House District 16,"VIGIL, STEPHANIE",70.0,2025-09-19 00:00:00,University Of Colorado,Colorado Springs,CO,,Other,Event Ticket
House District 16,"VIGIL, STEPHANIE",183.22,2025-09-30 00:00:00,Actblue,Somervile,MA,02144,Bank Fees,Processing Fees
House District 16,"VIGIL, STEPHANIE",752.5,2024-12-10 00:00:00,Divergent Deliverables,Centennial,CO,80122,Consultant & Professional Services,Staff
House District 16,"VIGIL, STEPHANIE",11.47,2024-12-11 00:00:00,Civitech,San Antonio,TX,78258,Miscellaneous,Volunteer Management
House District 16,"VIGIL, STEPHANIE",3031.0,2024-12-14 00:00:00,Pe Strategies,Colorado Springs,CO,80916,Consultant & Professional Services,Campaign Manager
House District 16,"VIGIL, STEPHANIE",27.31,2024-12-16 00:00:00,Mailchimp,Atlanta,GA,30308,Rent & Utilities,
House District 16,"VIGIL, STEPHANIE",10.3,2025-10-02 00:00:00,Google,Mountain View,CA,94043,Office Equipment & Supplies,Online Office Suite
House District 16,"VIGIL, STEPHANIE",27.31,2025-10-16 00:00:00,Mailchimp,Atlanta,GA,30308,Office Equipment & Supplies,Newsletter
House District 16,"VIGIL, STEPHANIE",10.3,2025-11-02 00:00:00,Google,Mountain View,CA,94043,Office Equipment & Supplies,Online Office Suite
House District 16,"VIGIL, STEPHANIE",123.68,2025-11-14 00:00:00,Calendly Llc,Buford,GA,30518,Miscellaneous,Scheduling Software
House District 16,"VIGIL, STEPHANIE",27.31,2025-11-16 00:00:00,Mailchimp,Atlanta,GA,30308,Office Equipment & Supplies,Newsletter
House District 16,"VIGIL, STEPHANIE",95.0,2025-12-01 00:00:00,Campaign Verify,Washington,DC,20007,Miscellaneous,Id Verification For Sms
House District 16,"VIGIL, STEPHANIE",10.3,2025-12-02 00:00:00,Google,Mountain View,CA,94043,Office Equipment & Supplies,Online Office Suite
House District 16,"VIGIL, STEPHANIE",400.0,2025-12-07 00:00:00,"Canva Us, Inc.",Austin,TX,78702,Rent & Utilities,"Marketing, Graphics, And Print Services"
House District 16,"VIGIL, STEPHANIE",10.0,2025-12-07 00:00:00,Time Park Llc Lot 20,Denver,CO,80203,Travel & Lodging,Parking
House District 16,"VIGIL, STEPHANIE",27.31,2025-12-16 00:00:00,Mailchimp,Atlanta,GA,30308,Office Equipment & Supplies,Newsletter
House District 16,"VIGIL, STEPHANIE",70.0,2025-12-31 00:00:00,"Square, Inc.",San Francisco,CA,94103,Bank Fees,Processing Fees
House District 16,"VIGIL, STEPHANIE",182.68,2025-12-31 00:00:00,Actblue,Somervile,MA,02144,Bank Fees,Processing Fees
House District 17,"ENGLISH, REGINA",304.46,2025-01-02 00:00:00,Party City,Colorado Springs,CO,80922,Office Equipment & Supplies,Campaign Launch Supplies
House District 17,"ENGLISH, REGINA",430.95,2025-01-03 00:00:00,Party City,Colorado Springs,CO,80922,Office Equipment & Supplies,Chair And Table Rental
House District 17,"ENGLISH, REGINA",412.0,2025-01-06 00:00:00,Walmart,Fountain,CO,80817,"Food, Beverages and Meals",Campaign Launch Dinner Supplies
House District 17,"ENGLISH, REGINA",111.41,2025-01-06 00:00:00,King Chef Diner,Colorado Springs,CO,80903,"Food, Beverages and Meals",Campaign Launch Dinner
House District 17,"ENGLISH, REGINA",79.83,2025-01-06 00:00:00,Walmart Super Center,Colorado Springs,CO,80909,Office Equipment & Supplies,"Utensils, Paper Plates, Table Clothes For Campaign Launch"
House District 17,"ENGLISH, REGINA",38.52,2025-01-07 00:00:00,Party City,Colorado Springs,CO,80922,Office Equipment & Supplies,Launch Dinner Supplies
House District 17,"ENGLISH, REGINA",49.0,2025-01-09 00:00:00,Wix.Com Inc,San Francisco,CA,94158,Advertising,Website Services
House District 17,"ENGLISH, REGINA",3.95,2025-01-19 00:00:00,Act Blue,Sommerville,MA,02144,Bank Fees,Actblue Fee
House District 17,"ENGLISH, REGINA",20.61,2025-01-21 00:00:00,Mail Chimp,Atlanta,CO,30308,Office Equipment & Supplies,Email Services
House District 17,"ENGLISH, REGINA",0.99,2025-03-02 00:00:00,Act Blue,Sommerville,MA,02144,Contributions,Actblue Fee
House District 17,"ENGLISH, REGINA",174.0,2025-03-28 00:00:00,Wix.Com Inc,San Francisco,CA,94158,Advertising,Website Services
House District 17,"ENGLISH, REGINA",20.0,2025-04-18 00:00:00,Mail Chimp,Atlanta,CO,30308,Office Equipment & Supplies,Email Service
House District 17,"ENGLISH, REGINA",227.0,2025-05-13 00:00:00,United States Postal Service,Colorado Springs,CO,80903,Office Equipment & Supplies,Campaign Po Box
House District 17,"ENGLISH, REGINA",148.42,2025-05-15 00:00:00,Grammarly,San Francisco,CA,94104,Office Equipment & Supplies,Speech Editing Services
House District 17,"ENGLISH, REGINA",238.03,2025-05-18 00:00:00,Best Buy,Colorado Springs,CO,80920,Office Equipment & Supplies,Campaign Equipment
House District 17,"ENGLISH, REGINA",24.88,2025-05-18 00:00:00,Office Max,Colorado Springs,CO,80906,Office Equipment & Supplies,Office Supplies For Campaign
House District 17,"ENGLISH, REGINA",20.61,2025-05-19 00:00:00,Mail Chimp,Atlanta,CO,30308,Office Equipment & Supplies,Email Service
House District 17,"ENGLISH, REGINA",388.8,2025-05-19 00:00:00,National Alliance Black School Educators,Washinton,DC,20016,Consultant & Professional Services,Professional Development Conference
House District 17,"ENGLISH, REGINA",23.25,2025-05-20 00:00:00,Office Max,Colorado Springs,CO,80906,Office Equipment & Supplies,Office Supplies For Campaign Office
House District 17,"ENGLISH, REGINA",45.44,2025-05-21 00:00:00,Walmart Super Center,Colorado Springs,CO,80909,"Food, Beverages and Meals",Food For Campaign Event
House District 17,"ENGLISH, REGINA",59.49,2025-06-21 00:00:00,Best Buy,Colorado Springs,CO,80920,Office Equipment & Supplies,Campaign Supplies
House District 17,"ENGLISH, REGINA",20.61,2025-07-18 00:00:00,Mail Chimp,Atlanta,CO,30308,Advertising,Emails And Newsletters
House District 17,"ENGLISH, REGINA",169.0,2025-07-23 00:00:00,Trumpia,La Palma,CA,90623,Advertising,Constituent Text Messages
House District 17,"ENGLISH, REGINA",168.11,2025-08-12 00:00:00,"Zoom Video Communications, Inc",San Jose,CA,95113,Office Equipment & Supplies,Community Communication
House District 17,"ENGLISH, REGINA",20.61,2025-08-18 00:00:00,Mail Chimp,Atlanta,CO,30308,Advertising,Newsletters And Emails
House District 17,"ENGLISH, REGINA",169.0,2025-08-22 00:00:00,Trumpia,La Palma,CA,90623,Advertising,Text Campaign
House District 17,"ENGLISH, REGINA",59.59,2025-08-27 00:00:00,P F Chang'S,Colorado Springs,CO,80920,"Food, Beverages and Meals",Campaign Meeting Dinner
House District 17,"ENGLISH, REGINA",150.0,2025-09-05 00:00:00,Nobel Women,New York,NY,10001,Consultant & Professional Services,Leadership Conference
House District 17,"ENGLISH, REGINA",66.35,2025-09-15 00:00:00,Longhorn Staeakhouse,Colorado Springs,CO,80917,"Food, Beverages and Meals",Campaign Meeting Dinner
House District 17,"ENGLISH, REGINA",350.0,2025-09-15 00:00:00,Chelonda  Marshall,Colorado Springs,CO,80916,Employee Services,Campaign Manager Pay
House District 17,"ENGLISH, REGINA",206.28,2025-09-15 00:00:00,El Paso County Democratic Party,Colorado Springs,CO,80909,Contributions,El Paso County Democratic Gala
House District 17,"ENGLISH, REGINA",20.61,2025-09-18 00:00:00,Mail Chimp,Atlanta,CO,30308,Advertising,Emails And Newsletters
House District 17,"ENGLISH, REGINA",41.22,2025-09-22 00:00:00,Apple.Com,Cupertino,CA,95014,Consultant & Professional Services,Grammar Services
House District 17,"ENGLISH, REGINA",169.0,2025-09-22 00:00:00,Trumpia,La Palma,CA,90623,Advertising,Text Campaign
House District 17,"ENGLISH, REGINA",0.4,2024-10-16 00:00:00,Act Blue,Sommerville,MA,02144,Bank Fees,Act Blue Fee For Carolyn Stetson $10.00 Donation
House District 17,"ENGLISH, REGINA",1038.0,2024-10-24 00:00:00,Downtown Copy Experts,Colorado Springs,CO,80903,Advertising,Marketing
House District 17,"ENGLISH, REGINA",1120.0,2024-10-24 00:00:00,United States Postal Service,Colorado Springs,CO,80903,Office Equipment & Supplies,Postage For Donation Letters And Postcards
House District 17,"ENGLISH, REGINA",142.74,2024-10-25 00:00:00,Walmart Super Center,Colorado Springs,CO,80909,Office Equipment & Supplies,Campaign Supplies
House District 17,"ENGLISH, REGINA",350.0,2024-10-28 00:00:00,Sabrina'S Soul Food Kitchen,Colorado Springs,CO,80916,"Food, Beverages and Meals",Food Deposit For Community Conversation
House District 17,"ENGLISH, REGINA",419.0,2024-10-29 00:00:00,Bright Star Strategies,Bayfield,CO,81122,Advertising,Marketing Video For Campaign
House District 17,"ENGLISH, REGINA",11.85,2024-10-29 00:00:00,Act Blue,Sommerville,MA,02144,Bank Fees,Act Blue Bank Fee For Rep. Jennifer Bacon $300.00 Campaign Donation.
House District 17,"ENGLISH, REGINA",1500.0,2024-10-31 00:00:00,Eye Contact Media,Minneapolis,MN,55401,Advertising,Media Impressions For Campaign Video
House District 17,"ENGLISH, REGINA",14.6,2024-11-01 00:00:00,United States Postal Service,Colorado Springs,CO,80903,Office Equipment & Supplies,Postage For Donation Letters And Postcards
House District 17,"ENGLISH, REGINA",1000.0,2024-11-01 00:00:00,Tionna R Moss,Redacted By Sos,CO,99999,Employee Services,Campaign Phone Banking October 1-31St
House District 17,"ENGLISH, REGINA",0.99,2024-11-02 00:00:00,Act Blue,Sommerville,MA,02144,Bank Fees,Act Blue Fee For Kimberlee Noyes $25 Donation
House District 17,"ENGLISH, REGINA",15.8,2024-11-06 00:00:00,Act Blue,Sommerville,MA,02144,Bank Fees,Act Blue Fee For Rep. Jennifer Bacon Campaign Donation For New Cycle.
House District 17,"ENGLISH, REGINA",1250.0,2024-11-12 00:00:00,Lamonica  Adams,Redacted By Sos,CO,99999,Employee Services,"October1-November 5, 2024, Campaign Door Knocking And Phone Banking.
Check # 1149"
House District 17,"ENGLISH, REGINA",1000.0,2024-11-12 00:00:00,Sean  Hale,Redacted By Sos,CO,99999,Employee Services,October 1-30Th Campaign Work. Calling And Knocking On Doors.
House District 17,"ENGLISH, REGINA",16.54,2024-11-13 00:00:00,The Ups Store,Colorado Springs,CO,80906,Other,Mailed Joel Dyar Video Equipment Back From Campaign Video.
House District 17,"ENGLISH, REGINA",49.0,2024-11-15 00:00:00,Wix.Com Inc,San Francisco,CA,94158,Advertising,Campaign Website Monthly Fee
House District 17,"ENGLISH, REGINA",20.61,2024-11-18 00:00:00,Mail Chimp,Atlanta,CO,30308,Office Equipment & Supplies,Newsletter Platform
House District 17,"ENGLISH, REGINA",270.14,2024-11-18 00:00:00,Courtyard By Marriot Denver West Golden,Golden,CO,80401,Miscellaneous,Hotel Stay For Colorado Democrat Caucus Retreat
House District 17,"ENGLISH, REGINA",49.0,2024-12-09 00:00:00,Wix.Com Inc,San Francisco,CA,94158,Office Equipment & Supplies,Website Services
House District 17,"ENGLISH, REGINA",60.0,2024-12-13 00:00:00,Grammarly,San Francisco,CA,94104,Office Equipment & Supplies,Speech Editing Service
House District 17,"ENGLISH, REGINA",20.61,2024-12-18 00:00:00,Mail Chimp,Atlanta,CO,30308,Advertising,Email Services
House District 17,"ENGLISH, REGINA",800.0,2024-12-26 00:00:00,Lundyn  Jackson,Coloradosprings,CO,80916,Consultant & Professional Services,Consulting /Strategic Planning
House District 17,"ENGLISH, REGINA",800.0,2024-12-26 00:00:00,Lundyn  Jackson,Coloradosprings,CO,80916,Consultant & Professional Services,Consulting /Strategic Planning
House District 17,"ENGLISH, REGINA",4.94,2025-10-05 00:00:00,Act Blue Technical Services,Boston,MA,02196-2017,Bank Fees,Act Blue Processing Fees
House District 17,"ENGLISH, REGINA",41.49,2025-10-12 00:00:00,Act Blue Technical Services,Boston,MA,02196-2017,Bank Fees,Act Blue Processing Fees
House District 17,"ENGLISH, REGINA",20.61,2025-10-20 00:00:00,Mail Chimp,Atlanta,CO,30308,Advertising,Emails
House District 17,"ENGLISH, REGINA",225.0,2025-10-28 00:00:00,Guerilla Grafix,Porterville,CA,93257,Advertising,Literature And Graphics
House District 17,"ENGLISH, REGINA",125.0,2025-10-29 00:00:00,Guerilla Grafix,Porterville,CA,93257,Advertising,Literature And Graphics
House District 17,"ENGLISH, REGINA",17.78,2025-11-02 00:00:00,Act Blue Technical Services,Boston,MA,02196-2017,Bank Fees,Act Blue Processing Fees
House District 17,"ENGLISH, REGINA",40.0,2025-11-03 00:00:00,Guerilla Grafix,Porterville,CA,93257,Advertising,Flyer Design
House District 17,"ENGLISH, REGINA",69.48,2025-11-03 00:00:00,Bubba 'S 33,Colorado Springs,CO,80915,"Food, Beverages and Meals",Team Strategy Meeting
House District 17,"ENGLISH, REGINA",25.0,2025-11-05 00:00:00,National Caucus Of Black State Legislators,Washinton,DC,20001,Consultant & Professional Services,"Continuing Education, Training And Leadership Conference"
House District 17,"ENGLISH, REGINA",875.0,2025-11-07 00:00:00,National Caucus Of Black State Legislators,Washinton,DC,20001,Consultant & Professional Services,"Leadership, Training And Continuing Education Conference"
House District 17,"ENGLISH, REGINA",64.21,2025-11-10 00:00:00,Bucee'S,Bethoud,CO,80513,"Food, Beverages and Meals",Planning And Strategy Meeting
House District 17,"ENGLISH, REGINA",692.3,2025-11-10 00:00:00,The Elizabeth Hotel,Fort Collins,CO,80524,Travel & Lodging,Democrat Caucus Retreat
House District 17,"ENGLISH, REGINA",66.63,2025-11-12 00:00:00,Walmart Supercenter,Colorado,CO,80915,Office Equipment & Supplies,Campaign Supplies
House District 17,"ENGLISH, REGINA",20.61,2025-11-18 00:00:00,Mail Chimp,Atlanta,CO,30308,Advertising,Emails
House District 17,"ENGLISH, REGINA",2.99,2025-11-24 00:00:00,Apple.Com,Cupertino,CA,95014,Advertising,Campaign Ad
House District 17,"ENGLISH, REGINA",15.81,2025-12-07 00:00:00,Act Blue Technical Services,Boston,MA,02196-2017,Bank Fees,Act Blue Processing Fee
House District 17,"ENGLISH, REGINA",118.48,2025-12-08 00:00:00,Walmart Supercenter,Colorado,CO,80915,Office Equipment & Supplies,Campaign Supplies
House District 17,"ENGLISH, REGINA",45.0,2025-12-11 00:00:00,American Airlines,Dfw Airport,TX,75261-9616,Travel & Lodging,Conference Luggage
House District 17,"ENGLISH, REGINA",35.0,2025-12-11 00:00:00,American Airlines,Dfw Airport,TX,75261-9616,Travel & Lodging,Conferenvce Luggage
House District 17,"ENGLISH, REGINA",68.13,2025-12-11 00:00:00,Uber,San Francisco,CA,94158,Travel & Lodging,Conference Travel
House District 17,"ENGLISH, REGINA",10.0,2025-12-12 00:00:00,Uber,San Francisco,CA,94158,Travel & Lodging,Conference Travel
House District 17,"ENGLISH, REGINA",18.77,2025-12-14 00:00:00,Act Blue Technical Services,Boston,MA,02196-2017,Bank Fees,Act Blue Processing Fees
House District 17,"ENGLISH, REGINA",23.49,2025-12-15 00:00:00,Uber,San Francisco,CA,94158,Travel & Lodging,Conference Travel
House District 17,"ENGLISH, REGINA",103.68,2025-12-15 00:00:00,National Alliance Black School Educators,Washinton,DC,20016,Consultant & Professional Services,Nabse Gala
House District 17,"ENGLISH, REGINA",20.61,2025-12-18 00:00:00,Mail Chimp,Atlanta,CO,30308,Advertising,Emails
House District 17,"ENGLISH, REGINA",2.99,2025-12-24 00:00:00,Apple.Com,Cupertino,CA,95014,Advertising,Campaign Ad
House District 17,"ENGLISH, REGINA",8.89,2025-12-28 00:00:00,Act Blue Technical Services,Boston,MA,02196-2017,Bank Fees,Act Blue Processing Fees
House District 17,"JOHNSON, CHAUNCY",18.99,2025-07-07 00:00:00,Canva,Nsw 2010,AU,,Other,Website Domain For Hd-17
House District 17,"JOHNSON, CHAUNCY",33.62,2025-07-13 00:00:00,Actblue Technical Services,Boston,MA,02196-2017,Bank Fees,Service Fee
House District 17,"JOHNSON, CHAUNCY",150.0,2025-07-13 00:00:00,Britannty  Nash,Colorado Springs,CO,80910,Other,Design & Marketing
House District 17,"JOHNSON, CHAUNCY",45.5,2025-07-20 00:00:00,Actblue Technical Services,Boston,MA,02196-2017,Bank Fees,Processing Fee
House District 17,"JOHNSON, CHAUNCY",51.01,2025-07-27 00:00:00,Actblue Technical Services,Boston,MA,02196-2017,Bank Fees,Processing Fee
House District 17,"JOHNSON, CHAUNCY",432.85,2025-07-31 00:00:00,Colorado Democratic Party:,Denver,CO,80203,Other,Acess To Van Votebuilder
House District 17,"JOHNSON, CHAUNCY",4.76,2025-08-03 00:00:00,Actblue Technical Services,Boston,MA,02196-2017,Bank Fees,Service Fee
House District 17,"JOHNSON, CHAUNCY",1.39,2025-08-10 00:00:00,Actblue Technical Services,Boston,MA,02196-2017,Bank Fees,Service Fee
House District 17,"JOHNSON, CHAUNCY",150.0,2025-08-13 00:00:00,Britannty  Nash,Colorado Springs,CO,80910,Other,Design & Marketing
House District 17,"JOHNSON, CHAUNCY",1.39,2025-08-17 00:00:00,Actblue Technical Services,Boston,MA,02196-2017,Bank Fees,Service Fee
House District 17,"JOHNSON, CHAUNCY",2.38,2025-08-31 00:00:00,Actblue Technical Services,Boston,MA,02196-2017,Bank Fees,Service Fee
House District 17,"JOHNSON, CHAUNCY",4.94,2025-09-07 00:00:00,Actblue Technical Services,Boston,MA,02196-2017,Bank Fees,Service Fee
House District 17,"JOHNSON, CHAUNCY",150.0,2025-09-10 00:00:00,Britannty  Nash,Colorado Springs,CO,80910,Other,Design & Marketing
House District 17,"JOHNSON, CHAUNCY",12.27,2025-09-21 00:00:00,Actblue Technical Services,Boston,MA,02196-2017,Bank Fees,Service Fee
House District 17,"JOHNSON, CHAUNCY",35.0,2025-09-23 00:00:00,Meta,Menlo Park,CA,94025,Advertising,Advertisement- Boost Of A Post On Social Media
House District 17,"JOHNSON, CHAUNCY",21.76,2025-09-28 00:00:00,Actblue Technical Services,Boston,MA,02196-2017,Bank Fees,Service Fee
House District 17,"JOHNSON, CHAUNCY",13.84,2025-09-30 00:00:00,Actblue Technical Services,Boston,MA,02196-2017,Bank Fees,Service Fee
House District 17,"JOHNSON, CHAUNCY",1.39,2025-10-05 00:00:00,Actblue Technical Services,Boston,MA,02196-2017,Other,Processing Fee
House District 17,"JOHNSON, CHAUNCY",3.95,2025-10-12 00:00:00,Actblue Technical Services,Boston,MA,02196-2017,Other,Processing Fee
House District 17,"JOHNSON, CHAUNCY",750.0,2025-10-14 00:00:00,Britannty  Nash,Colorado Springs,CO,80910,Consultant & Professional Services,
House District 17,"JOHNSON, CHAUNCY",0.99,2025-10-19 00:00:00,Actblue Technical Services,Boston,MA,02196-2017,Other,Processing Fee
House District 17,"JOHNSON, CHAUNCY",8.89,2025-10-26 00:00:00,Actblue Technical Services,Boston,MA,02196-2017,Other,Processing Fee
House District 17,"JOHNSON, CHAUNCY",0.4,2025-11-02 00:00:00,Actblue Technical Services,Boston,MA,02196-2017,Other,Processing Fee
House District 17,"JOHNSON, CHAUNCY",150.0,2025-11-13 00:00:00,Britannty  Nash,Colorado Springs,CO,80910,Consultant & Professional Services,
House District 17,"JOHNSON, CHAUNCY",7.33,2025-11-16 00:00:00,Actblue Technical Services,Boston,MA,02196-2017,Other,Processing Fee
House District 17,"JOHNSON, CHAUNCY",5.94,2025-11-23 00:00:00,Actblue Technical Services,Boston,MA,02196-2017,Other,Processing Fee
House District 17,"JOHNSON, CHAUNCY",39.0,2025-11-26 00:00:00,Staples,Colorado Springs,CO,80922,Office Equipment & Supplies,Business Cards
House District 17,"JOHNSON, CHAUNCY",47.03,2025-11-30 00:00:00,Actblue Technical Services,Boston,MA,02196-2017,Other,Processing Fee
House District 17,"JOHNSON, CHAUNCY",14.88,2025-12-03 00:00:00,Zoom,San Jose,CA,95113,Office Equipment & Supplies,Meeting And Events
House District 17,"JOHNSON, CHAUNCY",41.22,2025-12-04 00:00:00,Linkdin,Sunnyvale,CA,94085,Advertising,Events And Advertisement
House District 17,"JOHNSON, CHAUNCY",59.29,2025-12-07 00:00:00,Actblue Technical Services,Boston,MA,02196-2017,Other,Processing Fee
House District 17,"JOHNSON, CHAUNCY",750.0,2025-12-14 00:00:00,Britannty  Nash,Colorado Springs,CO,80910,Consultant & Professional Services,Design And Marketing
House District 17,"JOHNSON, CHAUNCY",1.98,2025-12-14 00:00:00,Actblue Technical Services,Boston,MA,02196-2017,Other,Processing Fee
House District 17,"JOHNSON, CHAUNCY",4.35,2025-12-28 00:00:00,Actblue Technical Services,Boston,MA,02196-2017,Other,Processing Fee
House District 17,"MARTIN, LAURA",,,,,,,,
House District 18,"BOELENS, JAMES",,,,,,,,
House District 18,"CUVA, ADRIANA",,,,,,,,
House District 18,"PASCHAL, AMY",13.51,2025-01-02 00:00:00,Google Voice Inc.,Mountain View,CA,94043,Office Equipment & Supplies,
House District 18,"PASCHAL, AMY",13.4,2025-01-21 00:00:00,Intuit Mailchimp,Atlanta,GA,30308,Advertising,
House District 18,"PASCHAL, AMY",2.0,2025-01-22 00:00:00,First Bank,Colo Springs,CO,80903,Bank Fees,
House District 18,"PASCHAL, AMY",119.88,2025-01-28 00:00:00,Bitly,New York,NY,10001,Advertising,Qr Code
House District 18,"PASCHAL, AMY",3.6,2025-01-28 00:00:00,First Bank,Colo Springs,CO,80903,Bank Fees,
House District 18,"PASCHAL, AMY",13.55,2025-02-03 00:00:00,Google Voice Inc.,Mountain View,CA,94043,Office Equipment & Supplies,
House District 18,"PASCHAL, AMY",5.0,2025-02-05 00:00:00,Gusto Capital Llc,San Francisco,CA,94107,Bank Fees,
House District 18,"PASCHAL, AMY",13.4,2025-02-19 00:00:00,Intuit Mailchimp,Atlanta,GA,30308,Advertising,
House District 18,"PASCHAL, AMY",2.0,2025-02-20 00:00:00,First Bank,Colo Springs,CO,80903,Bank Fees,
House District 18,"PASCHAL, AMY",13.55,2025-03-03 00:00:00,Google Voice Inc.,Mountain View,CA,94043,Office Equipment & Supplies,
House District 18,"PASCHAL, AMY",36.07,2025-03-05 00:00:00,Gusto Capital Llc,San Francisco,CA,94107,Bank Fees,
House District 18,"PASCHAL, AMY",13.4,2025-03-18 00:00:00,Intuit Mailchimp,Atlanta,GA,30308,Advertising,
House District 18,"PASCHAL, AMY",2.0,2025-03-19 00:00:00,First Bank,Colo Springs,CO,80903,Bank Fees,
House District 18,"PASCHAL, AMY",13.55,2025-04-03 00:00:00,Google Voice Inc.,Mountain View,CA,94043,Office Equipment & Supplies,
House District 18,"PASCHAL, AMY",36.07,2025-04-03 00:00:00,Gusto Capital Llc,San Francisco,CA,94107,Employee Services,
House District 18,"PASCHAL, AMY",2.0,2025-04-17 00:00:00,First Bank,Colo Springs,CO,80903,Bank Fees,
House District 18,"PASCHAL, AMY",13.4,2025-04-21 00:00:00,Intuit Mailchimp,Atlanta,GA,30308,Advertising,
House District 18,"PASCHAL, AMY",13.55,2025-05-02 00:00:00,Google Voice Inc.,Mountain View,CA,94043,Office Equipment & Supplies,
House District 18,"PASCHAL, AMY",36.07,2025-05-05 00:00:00,Gusto Capital Llc,San Francisco,CA,94107,Employee Services,
House District 18,"PASCHAL, AMY",120.0,2025-05-16 00:00:00,Atlassian Corporation,San Francisco,CA,94104,Office Equipment & Supplies,Task Management Software
House District 18,"PASCHAL, AMY",2.0,2025-05-19 00:00:00,First Bank,Colo Springs,CO,80903,Bank Fees,
House District 18,"PASCHAL, AMY",13.4,2025-05-19 00:00:00,Intuit Mailchimp,Atlanta,GA,30308,Advertising,
House District 18,"PASCHAL, AMY",2.5,2025-05-21 00:00:00,"City Of Colorado Springs, Parking System Enterprise",Colo Springs,CO,80903,Travel & Lodging,Parking Meter
House District 18,"PASCHAL, AMY",101.41,2025-05-22 00:00:00,Costco Wholesale Corporation,Issaquah,WA,98027,"Food, Beverages and Meals",Food For Town Hall
House District 18,"PASCHAL, AMY",-25.44,2025-05-22 00:00:00,Costco Wholesale Corporation,Issaquah,WA,98027,Returned Expenditure,Reimbursement For Food From Marc Snyder For Shared Town Hall.
House District 18,"PASCHAL, AMY",27.9,2025-05-28 00:00:00,Intuit Mailchimp,Atlanta,GA,30308,Advertising,
House District 18,"PASCHAL, AMY",13.55,2025-06-02 00:00:00,Google Voice Inc.,Mountain View,CA,94043,Office Equipment & Supplies,
House District 18,"PASCHAL, AMY",2.0,2025-06-18 00:00:00,First Bank,Colo Springs,CO,80903,Bank Fees,
House District 18,"PASCHAL, AMY",300.0,2025-06-26 00:00:00,Canva Us Inc,Austin,TX,78702,Office Equipment & Supplies,Graphic Design Software
House District 18,"PASCHAL, AMY",13.27,2025-06-27 00:00:00,Jives Coffee Lounge,Colorado Springs,CO,80904,"Food, Beverages and Meals",
House District 18,"PASCHAL, AMY",8.94,2025-06-30 00:00:00,Actblue,Somerville,MA,02144,Bank Fees,
House District 18,"PASCHAL, AMY",13.57,2025-07-02 00:00:00,Google Voice Inc.,Mountain View,CA,94043,Office Equipment & Supplies,
House District 18,"PASCHAL, AMY",2.0,2025-07-21 00:00:00,"City Of Colorado Springs, Parking System Enterprise",Colo Springs,CO,80903,Travel & Lodging,Parking
House District 18,"PASCHAL, AMY",46.38,2025-07-21 00:00:00,Intuit Mailchimp,Atlanta,GA,30308,Advertising,
House District 18,"PASCHAL, AMY",6.0,2025-07-22 00:00:00,First Bank,Colo Springs,CO,80903,Bank Fees,Debit Cards
House District 18,"PASCHAL, AMY",13.57,2025-08-04 00:00:00,Google Voice Inc.,Mountain View,CA,94043,Office Equipment & Supplies,
House District 18,"PASCHAL, AMY",0.04,2025-08-06 00:00:00,Actblue,Somerville,MA,02144,Bank Fees,
House District 18,"PASCHAL, AMY",463.75,2025-08-15 00:00:00,El Paso County Democratic Party,Colorado Springs,CO,80909,Advertising,Gala Brochure Ad
House District 18,"PASCHAL, AMY",3.0,2025-08-18 00:00:00,"City Of Colorado Springs, Parking System Enterprise",Colo Springs,CO,80903,Travel & Lodging,Parking
House District 18,"PASCHAL, AMY",46.38,2025-08-19 00:00:00,Intuit Mailchimp,Atlanta,GA,30308,Advertising,
House District 18,"PASCHAL, AMY",6.0,2025-08-20 00:00:00,First Bank,Colo Springs,CO,80903,Bank Fees,Debit Cards
House District 18,"PASCHAL, AMY",10.0,2025-08-22 00:00:00,Food To Power,Colorado Springs,CO,80903,Contributions,Tickets To Non-Profit Event
House District 18,"PASCHAL, AMY",13.6,2025-09-02 00:00:00,Google Voice Inc.,Mountain View,CA,94043,Office Equipment & Supplies,
