District,candidate_name,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
House District 36,Michael Carter,72.6,9/15/25,Safeway,Aurora,CO,80011,"Food, Beverages and Meals",Campaign Event Food And Drink
House District 09,Monica VanBuskirk,72.57,11/30/25,Act Blue,Somerville,MA,02144,Fundraising Expenses,Fees Paid On Contribution Disbursement Number: 401780294
House District 50,Ryan Gonzalez,72.47,11/24/25,Hungry House,Littleton,CO,80123,Other,7640 ∑ Meals
House District 11,Karen McCormick,72.45,8/29/25,Malwarebytes,Santa Clara,CA,95054,Office Equipment & Supplies,
House District 45,Max Brooks,72.38,10/20/25,Godaddy,Scottsdale,AZ,85260,Advertising,Domain Registration
House District 35,Lorena Garcia,72.33,1/6/25,Gusto,San Francisco,CA,94107,Bank Fees,
House District 10,Junie Joseph,72.31,6/8/25,Actblue,Somerville,MA,02144,Other,Actblue Transaction Fees
House District 36,Michael Carter,72.25,8/18/25,King Soopers,Aurora,CO,80011,"Food, Beverages and Meals",Campaign Event Food And Drink
House District 07,Jennifer Bacon,72.22,8/11/25,Parking Spot,Aurora,CO,80019,Travel & Lodging,
House District 11,Karen McCormick,72,4/29/25,Xcel Energy,Dallas,TX,75266,Office Equipment & Supplies,
House District 37,Chad Clifford,72,1/3/24,Wix.Com,San Francisco,CO,94158,Miscellaneous,Software
House District 37,Chad Clifford,72,2/3/25,Wix.Com,San Francisco,CO,94158,Miscellaneous,Software
House District 37,Chad Clifford,72,3/3/25,Wix.Com,San Francisco,CO,94158,Miscellaneous,Software
House District 45,Max Brooks,72,12/9/24,Squarespace,New York,NY,10014,Advertising,Website Hosting
House District 50,Ryan Gonzalez,71.88,8/25/25,Name Cheap,Phoenix,AZ,85034,Other,6625 ∑ Body Badges
House District 50,Ryan Gonzalez,71.85,10/23/25,Uber,San Francisco,CA,94158,Other,7680 ∑ Transportation Service
House District 22,Michael Pierson,71.8,4/2/26,Amazon,Seattle,WA,98109-5210,Advertising,Yard Signs
House District 13,Chris Floyd,71.33,9/21/25,Actblue Technical Services,Boston,MA,02196,Bank Fees,
House District 36,Michael Carter,71.13,6/18/23,Actblue Technical Services,Boston,MA,02196,Bank Fees,Donor Processor Fees
House District 26,Meghan Lukens,71.12,9/14/25,Actbluetechnicalservices,Somerville,MA,02144,Fundraising Expenses,
House District 31,"Jacqueline ""Jacque"" Phillips",71.12,9/10/25,Actblue Llc,Somerville,MA,02144,Bank Fees,Donor Processing Fee
House District 46,Jonathan Post,70.67,9/22/25,Morrell Printing,Lafayette,CO,80026,Other,6612 ∑ Business Cards
House District 06,Sean Camacho,70.6,1/14/25,United States Postal Service,Denver,CO,80220,Other,Postage
House District 47,Ty Winter,70.58,9/25/25,Tammy  Klein,Fort Lupton,CO,80621,Other,5140 ∑ Event Food & Beverage
House District 52,Yara Zokaie,70.5,1/28/25,Mailchimp,Atlanta,GA,30308,Advertising,
House District 52,Yara Zokaie,70.5,2/28/25,Mailchimp,Atlanta,GA,30308,Advertising,
House District 52,Yara Zokaie,70.5,3/28/25,Mailchimp,Atlanta,GA,30308,Advertising,
House District 52,Yara Zokaie,70.5,4/28/25,Mailchimp,Atlanta,GA,30308,Advertising,
House District 52,Yara Zokaie,70.5,5/28/25,Mailchimp,Atlanta,GA,30308,Advertising,
House District 52,Yara Zokaie,70.5,6/30/25,Mailchimp,Atlanta,GA,30308,Advertising,
House District 52,Yara Zokaie,70.5,9/30/24,Mailchimp,Atlanta,GA,30308,Advertising,
House District 52,Yara Zokaie,70.5,10/28/24,Mailchimp,Atlanta,GA,30308,Advertising,
House District 52,Yara Zokaie,70.5,11/29/24,Mailchimp,Atlanta,GA,30308,Advertising,
House District 52,Yara Zokaie,70.5,12/30/24,Mailchimp,Atlanta,GA,30308,Advertising,
House District 30,Rebekah Stewart,70.32,3/31/25,Godaddy,Tempe,AZ,85284,Miscellaneous,Website
House District 30,Rebekah Stewart,70.32,4/3/25,"Godaddy, Llc",Tempe,AZ,85284,Other,Website
House District 10,Junie Joseph,70,9/10/24,United Airlines,Chicago,IL,60606,Travel & Lodging,Difference In Flight Paid For Conference
House District 16,Steph Vigil,70,9/19/25,University Of Colorado,Colorado Springs,CO,,Other,Event Ticket
House District 16,Steph Vigil,70,12/31/25,"Square, Inc.",San Francisco,CA,94103,Bank Fees,Processing Fees
House District 19,Dan Woog,70,12/13/24,Lincoln Club Of Colorado Political Committee,Denver,CO,80202,Other,7218 ∑ Dues And Subscriptions
House District 36,Michael Carter,70,9/29/25,Uber Technologies,San Francisco,CA,94103,Travel & Lodging,Travel Incurred While Serving In Capacity As Colorado State Rep.
House District 58,Larry Don Suckla,70,6/10/24,The Montrose Mirror,Montrose,CO,81401,Advertising,
House District 58,Larry Don Suckla,70,6/10/24,The Montrose Mirror,Montrose,CO,81401,Advertising,Internet Advertising
House District 58,Larry Don Suckla,70,6/18/24,The Montrose Mirror,Montrose,CO,81401,Advertising,Internet Financing
House District 58,Larry Don Suckla,70,6/20/24,The Montrose Mirror,Montrose,CO,81401,Advertising,
House District 58,Larry Don Suckla,70,8/13/24,The Montrose Mirror,Montrose,CO,81401,Advertising,Paid 8/21/24
House District 58,Larry Don Suckla,70,8/20/24,The Montrose Mirror,Montrose,CO,81401,Advertising,Paid By Personal Credit Card To Be Reimbursed
House District 58,Larry Don Suckla,70,8/26/24,The Montrose Mirror,Montrose,CO,81401,Advertising,Paid 9/19/24
House District 63,Dusty Johnson,70,12/2/25,Colorado Ag Water Alliance,Littleton,CO,80127,Other,6810 ∑ Registration Fees
House District 46,Jonathan Post,69.97,8/6/25,Ume Custom Embroidery & Imprinting,Firestone,CO,80520,Other,6631 ∑ Apparel
House District 64,Scott L. Slaugh,69.97,8/6/25,Ume Custom Embroidery & Imprinting,Firestone,CO,80520,Other,6631 ∑ Apparel
House District 36,Michael Carter,69.95,6/4/23,Actblue Technical Services,Boston,MA,02196,Bank Fees,Donor Processor Fees
House District 58,Larry Don Suckla,69.78,8/8/24,Brand Central,Cortez,CO,81321,Advertising,Paid By Personal Credit Card. Reimb. Ck#202
House District 06,Sean Camacho,69.76,7/13/25,"Actblue Technical Services, Inc.",Somerville,MA,02144,Fundraising Expenses,
House District 58,Larry Don Suckla,69.73,8/5/24,Build A Sign,Austin,TX,78758,Advertising,Paid By Personal Credit Card. Reimb. Ck. #202
House District 36,Michael Carter,69.72,8/4/25,"Google, Inc.",Mountain View,CA,94043,Office Equipment & Supplies,"Google Apps For Work, Email"
House District 36,Michael Carter,69.72,9/2/25,"Google, Inc.",Mountain View,CA,94043,Office Equipment & Supplies,"Google Apps For Work, Email"
House District 36,Michael Carter,69.72,11/3/25,Google,Mountain View,CA,94043,Office Equipment & Supplies,
House District 36,Michael Carter,69.72,12/2/25,Google,Mountain View,CA,94043,Office Equipment & Supplies,
House District 17,Regina English,69.48,11/3/25,Bubba 'S 33,Colorado Springs,CO,80915,"Food, Beverages and Meals",Team Strategy Meeting
House District 07,Jennifer Bacon,69.34,10/30/25,Uber Technologies,San Fransisco,CA,94103,Travel & Lodging,Ncel
House District 48,Carlos Barron,69.29,1/6/25,Costco,Thornton,CO,80023,Other,7214 ∑ Office Supplies
House District 60,Michelle Gray,69.12,10/21/25,Sam'S Club,Pueblo,CO,81008,Other,5140 ∑ Event Food & Beverage
House District 31,Gabriel Cervantes,69,8/7/25,City Of Thornton,Thornton,CO,80229,Other,Harvestfest Registration
House District 34,Jenny Willford,69,8/21/25,City Of Thornton,Thornton,CO,80229,Miscellaneous,
House District 36,Michael Carter,69,6/9/25,Constant Contact,Loveland,CO,80538,Advertising,Email Marketing
House District 36,Michael Carter,69,7/7/25,Constant Contact,Loveland,CO,80538,Advertising,Email Marketing
House District 36,Michael Carter,69,8/7/25,Constant Contact,Loveland,CO,80538,Advertising,Email Marketing
House District 36,Michael Carter,69,9/8/25,Constant Contact,Loveland,CO,80538,Advertising,Email Marketing
House District 36,Michael Carter,69,10/7/25,Constant Contact,Waltham,MA,02451,Advertising,
House District 36,Michael Carter,69,11/7/25,Constant Contact,Waltham,MA,02451,Advertising,
House District 36,Michael Carter,69,12/8/25,Constant Contact,Waltham,MA,02451,Advertising,
House District 27,Danielle Varda,68.97,4/12/25,Act Blue,Cambridge,CO,02138,Bank Fees,
House District 31,Gabriel Cervantes,68.36,9/30/25,Actblue Technical Services,Boston,MA,02196,Bank Fees,
House District 14,Ava Flanell,68.17,12/30/25,Centennial Printing,Colorado Springs,CO,80903,Other,7214 ∑ Office Supplies
House District 17,Regina English,68.13,12/11/25,Uber,San Francisco,CA,94158,Travel & Lodging,Conference Travel
House District 60,Michelle Gray,68.02,9/8/25,Morrell Printing,Lafayette,CO,,Other,6612 ∑ Business Cards
House District 23,Alexis Hoffkling,68,5/27/25,Squarespace,New York,NY,10014,Other,Web Domain
House District 54,Jason Bias,68,9/10/25,Designcrowd Pty Ltd,Surry Hills,NE,2010,Advertising,Committee Paid For Business Cards.
House District 08,Lindsay Gilchrist,67.96,4/25/25,Illeagle Pete'S,Denver,CO,80206,"Food, Beverages and Meals",
House District 10,Junie Joseph,67.44,2/26/25,Jimmy Johns,Denver,CO,80202,"Food, Beverages and Meals",Food For Meeting
House District 37,Chad Clifford,67.31,6/4/25,Planned Parenthood Of The Rocky Mountains,Denver,CO,80207,Miscellaneous,Event Ticket
House District 61,Eliza Hamrick,67.22,12/31/25,Act Blue,Somerville,MA,02144,Bank Fees,Cc Processing
House District 31,"Jacqueline ""Jacque"" Phillips",67.18,6/29/25,Actblue Llc,Somerville,MA,02144,Bank Fees,
House District 22,Ken deGraaf,67.15,2/3/25,Donna  Labelle,Colorado Springs,CO,80918,Office Equipment & Supplies,
House District 23,Alexis Hoffkling,67,6/8/25,Actblue,Somerville,MA,02144,Fundraising Expenses,Actblue
House District 17,Regina English,66.63,11/12/25,Walmart Supercenter,Colorado,CO,80915,Office Equipment & Supplies,Campaign Supplies
House District 65,Lori Garcia Sander,66.51,12/16/24,Domain.Com,Jackssonville,FL,32256,Other,6400 ∑ Website Expense
House District 17,Regina English,66.35,9/15/25,Longhorn Staeakhouse,Colorado Springs,CO,80917,"Food, Beverages and Meals",Campaign Meeting Dinner
House District 29,Lori Goldstein,66.09,2/23/25,Actblue Technical Services,Somerville,MA,02144,Fundraising Expenses,Actblue Contribution Processing Fee
House District 07,Jennifer Bacon,65.86,5/12/25,Jelly Cafe,Denver,CO,80210,"Food, Beverages and Meals",End Of The Year Celebration
House District 19,Jillaire McMillan,65.79,11/2/25,Act Blue Technical Services,Somerville,MA,02144,Fundraising Expenses,
House District 31,Gabriel Cervantes,65.61,6/15/25,Actblue Technical Services,Boston,MA,02196,Bank Fees,Actblue Fees
House District 54,Nina Anderson,65.59,2/27/25,Vista Print,Lexington,MA,02421,Fundraising Expenses,
House District 19,Jillaire McMillan,65.55,10/15/25,Costco,Longmont,CO,80501,"Food, Beverages and Meals",
House District 53,Andy Boesenecker,65.38,4/17/25,Conoco,Longmont,CO,80504,Travel & Lodging,Gas
House District 31,"Jacqueline ""Jacque"" Phillips",65.2,6/15/25,Actblue Llc,Somerville,MA,02144,Bank Fees,
House District 16,Steph Vigil,65,2/1/25,Kweenwerk,Denver,CO,80249,Miscellaneous,Dei Training
House District 25,Tammy Story,65,9/6/25,Jefferson County Democratic Party,Lakewood,CO,80226,Other,Jdli Event Ticket
House District 36,Michael Carter,65,1/7/25,Constant Contact,Loveland,CO,80538,Advertising,Email Marketing
House District 36,Michael Carter,65,2/7/25,Constant Contact,Loveland,CO,80538,Advertising,Email Marketing
House District 36,Michael Carter,65,3/7/25,Constant Contact,Loveland,CO,80538,Advertising,Email Marketing
House District 36,Michael Carter,65,4/7/25,Constant Contact,Loveland,CO,80538,Advertising,Email Marketing
House District 36,Michael Carter,65,5/7/25,Constant Contact,Loveland,CO,80538,Advertising,Email Marketing
House District 62,Evans Gonzalez,64.99,3/7/26,Circle K,Pueblo,CO,81004,Travel & Lodging,Fuel To Capital
House District 22,Ken deGraaf,64.83,11/16/25,Mail Chimp,Atlanta,GA,30308,Bank Fees,Bank Fees
House District 19,Anil Pesaramelli,64.64,10/14/25,Getthru,Beaverton,OR,97008,Advertising,Text Messaging
House District 60,Michelle Gray,64.59,11/17/25,Wal-Mart,Pueblo West,CO,81007,Other,7214 ∑ Office Supplies
House District 19,Dan Woog,64.34,6/14/25,Dick'S,Thornton,CO,80023,Other,7214 ∑ Office Supplies
House District 19,Jillaire McMillan,64.22,8/31/25,Act Blue Techinical Services,West Somerville,MA,2144,Fundraising Expenses,
House District 17,Regina English,64.21,11/10/25,Bucee'S,Bethoud,CO,80513,"Food, Beverages and Meals",Planning And Strategy Meeting
House District 10,Junie Joseph,64.19,4/24/25,Imprint,Houston,TX,77083,Office Equipment & Supplies,Office Supplies
House District 14,Ava Flanell,64.11,11/26/25,Fedex,Colorado Springs,CO,80822,Other,6615 ∑ Hang Cards
House District 19,Dan Woog,64.1,12/30/24,Amazon,Seattle,WA,98109,Other,7214 ∑ Office Supplies
House District 53,Andy Boesenecker,64.1,2/21/25,E470,Aurora,CO,80018,Travel & Lodging,
House District 24,Lisa Feret,64,12/27/24,Goodwill,Arvada,CO,80403,Office Equipment & Supplies,
House District 22,Michael Pierson,63.75,9/27/25,United States Postal Service,Washington,DC,20260,Office Equipment & Supplies,"Vibrant Leaves Postcard Stamps, Coil Of 100"
House District 22,Michael Pierson,63.75,1/16/26,Ups Store,Colorado Springs,CO,80907,Office Equipment & Supplies,Postcard Stamps For Caucus Mailer
House District 50,Ryan Gonzalez,63.74,12/2/25,Uber,San Francisco,CA,94158,Other,7680 ∑ Transportation Service
House District 36,Michael Carter,63.71,9/26/25,Super In & Out Cleaners,Denver,CO,80203,Miscellaneous,
House District 22,Michael Pierson,63.58,1/12/26,King Soopers,Colorado Springs,CO,80920,"Food, Beverages and Meals",Food/Bev For Guests At Campaign Event
House District 50,Ryan Gonzalez,63.58,2/3/26,Amazon,N Seattle,WA,98109,Other,7214 ∑ Office Supplies
House District 60,Michelle Gray,63.54,8/29/25,Liberty Pack & Ship,Puebo West,CO,81007,Other,6221 ∑ Printing
House District 52,Yara Zokaie,63.43,5/5/25,Champagne Tiger,Denver,CO,80203,"Food, Beverages and Meals",
House District 38,Gretchen Rydin,63.32,12/12/25,Palenque,Littleton,CO,80120,"Food, Beverages and Meals",Food For Fundraiser
House District 36,Michael Carter,63.25,9/12/25,Wells Fargo,Aurora,CO,80013,Bank Fees,Donation Processor Fees
House District 19,Dan Woog,63.2,11/12/25,Anedot,Baton Rouge,LA,70808,Other,7820 ∑ Merchant Account Fees
House District 48,Carlos Barron,63,4/29/25,Shell Oil,Fort Lupton,CO,80621,Other,7652 ∑ Vehicle Gas
House District 36,Michael Carter,62.99,12/3/23,Actblue Technical Services,Boston,MA,02196,Bank Fees,Donor Processor Fees
House District 52,Yara Zokaie,62.92,2/14/25,Warwick Denver,Denver,CO,80203,"Food, Beverages and Meals",
House District 53,Andy Boesenecker,62.9,3/20/25,E470,Aurora,CO,80018,Travel & Lodging,
House District 32,Chris VanDijk,62.7,10/18/25,Mail Chimp,Atl,GA,30312,Fundraising Expenses,
House District 32,Chris VanDijk,62.7,11/17/25,Mailchimp,Atlanta,GA,30308,Fundraising Expenses,
House District 32,Chris VanDijk,62.7,12/17/25,Mail Chimp,Atl,GA,30312,Fundraising Expenses,
House District 53,Andy Boesenecker,62.61,12/2/25,Mailchimp,Atlanta,GA,30308,Office Equipment & Supplies,
House District 33,Heidi Henkel,62.49,8/12/25,Mailchimp,Atlanta,GE,30308,Advertising,
House District 18,Amy T Paschal,62.24,11/9/25,Actblue,Somerville,MA,02144,Fundraising Expenses,
House District 36,Michael Carter,62.21,6/30/25,Tivoli Tap House,Denver,CO,80249,"Food, Beverages and Meals",Meal Incurred While Serving In Capacity As Colorado State Rep.
House District 36,Michael Carter,62.16,1/23/25,Shish Kabob Grill,Denver,CO,80203,"Food, Beverages and Meals",Meal Incurred While Serving In Capacity As Colorado State Rep.
House District 22,Michael Pierson,62.13,11/12/25,Safeway,Colorado Springs,CO,,"Food, Beverages and Meals",
House District 59,Naomi Riess,62.1,10/6/25,Mailchimp,Atlanta,GA,30308,Advertising,Marketing Email Platform
House District 59,Naomi Riess,62.1,11/3/25,Mailchimp,Atlanta,GA,30308,Advertising,Marketing Email Platform
House District 59,Naomi Riess,62.1,12/3/25,Mailchimp,Atlanta,GA,30308,Advertising,Marketing Email Platform
House District 22,Michael Pierson,62.08,11/10/25,Safeway,Colorado Springs,CO,,"Food, Beverages and Meals",
House District 07,Jennifer Bacon,62.04,6/9/25,Amazon,Seattle,WA,98109,Office Equipment & Supplies,
House District 45,Max Brooks,62,5/16/25,Constant Contact,Waltham,MA,02451,Advertising,Subscription
House District 48,Carlos Barron,62,2/10/25,Safeway,Fort Lupton,CO,80621,Other,7652 ∑ Vehicle Gas
House District 22,Ken deGraaf,61.84,1/18/25,Mail Chimp,Atlanta,CO,30308,Consultant & Professional Services,
House District 22,Ken deGraaf,61.84,2/16/25,Mail Chimp,Atlanta,CO,30308,Consultant & Professional Services,
House District 22,Ken deGraaf,61.84,3/16/25,Mail Chimp,Atlanta,CO,30308,Consultant & Professional Services,
House District 22,Ken deGraaf,61.84,4/16/25,Mail Chimp,Atlanta,GA,30308,Consultant & Professional Services,
House District 22,Ken deGraaf,61.84,5/5/25,Mail Chimp,Atlanta,CO,30308,Consultant & Professional Services,
House District 22,Ken deGraaf,61.84,5/5/25,Mail Chimp,Atlanta,GA,30308,Consultant & Professional Services,
House District 22,Ken deGraaf,61.84,5/16/25,Mail Chimp,Atlanta,GA,30308,Consultant & Professional Services,
House District 22,Ken deGraaf,61.84,6/16/25,Mail Chimp,Atlanta,CO,30308,Consultant & Professional Services,
House District 22,Ken deGraaf,61.84,8/16/25,Mail Chimp,Atlanta,GA,30308,Bank Fees,
House District 22,Ken deGraaf,61.84,9/16/25,Mail Chimp,Atlanta,GA,30308,Bank Fees,
House District 22,Ken deGraaf,61.84,12/16/25,Mail Chimp,Atlanta,GA,30308,Bank Fees,
House District 60,Michelle Gray,61.8,1/2/26,Facebook Meta,Menlo Park,CA,94025,Other,6141 ∑ Space Buys
House District 36,Michael Carter,61.78,4/25/25,Rocky Mountain Promotional Products & Apparel,Grand Junction,CO,81501,Advertising,Campaign Promotional Materials
House District 01,Javier Mabrey,61.62,6/9/25,Com Nha Kitchen & Bar,Denver,CO,80227,"Food, Beverages and Meals",
House District 53,Andy Boesenecker,61.45,5/8/25,E470,Aurora,CO,80018,Travel & Lodging,
House District 13,Consuelo Redhorse,61.36,10/10/25,Copy Copy,Frisco,CO,80443,Office Equipment & Supplies,Business Cards (100 Ct)
House District 26,Meghan Lukens,61.35,10/6/25,Myfamli (Colo Dept Of Labor And Employment),Denver,CO,80202,Employee Services,
House District 36,Michael Carter,61.27,5/12/25,Elita Specialty Market & Kitchen,Aurora,CO,80010,"Food, Beverages and Meals",Meal Incurred While Serving In Capacity As Colorado State Rep.
House District 01,Javier Mabrey,61.25,9/9/25,Office Depot,Lakewood,CO,80226,Office Equipment & Supplies,
House District 57,Elizabeth Velasco,61.24,12/21/25,Actblue Technical Services,Somerville,MA,02144-3132,Consultant & Professional Services,
House District 19,Colton Jonjak Plahn,61.2,9/3/25,Vistaprint,Waltham,MA,02451,Office Equipment & Supplies,Custom Business Card Printing For Campaign Staff Identification
House District 31,Gabriel Cervantes,61.06,11/9/25,Actblue Technical Services,Boston,MA,02196,Bank Fees,
House District 19,Jillaire McMillan,61,10/9/25,Us Postal Service,Longmont,CO,80501,Office Equipment & Supplies,
House District 49,Lesley Smith,61,12/31/25,United States Postal Service,Boulder,CO,80302,Other,Stamps
House District 50,Ryan Gonzalez,61,1/14/26,Cinco Brothers,Greeley,CO,80634,Other,7290 ∑ Other Office Expense
House District 27,Danielle Varda,60.68,4/20/25,Act Blue,Cambridge,CO,02138,Bank Fees,
House District 08,Lindsay Gilchrist,60.64,2/7/25,Parkwell,Denver,CO,80211,Miscellaneous,Parking Fees
House District 54,Jason Bias,60.57,2/22/26,Canva Us Inc.,Austin,TX,78702,Fundraising Expenses,Donation Envelopes
House District 19,Anil Pesaramelli,60.45,12/4/25,Getthru,Beaverton,OR,97008,Advertising,
House District 33,Heidi Henkel,60.41,7/14/25,Mailchimp,Atlanta,GE,30308,Advertising,
House District 26,Meghan Lukens,60.35,1/13/25,Mailchimp,Atlanta,GA,30308,Advertising,
House District 26,Meghan Lukens,60.35,2/11/25,Mailchimp,Atlanta,GA,30308,Advertising,
House District 26,Meghan Lukens,60.35,3/11/25,Mailchimp,Atlanta,GA,30308,Advertising,
House District 26,Meghan Lukens,60.35,4/11/25,Mailchimp,Atlanta,GA,30308,Advertising,
House District 26,Meghan Lukens,60.35,5/12/25,Mailchimp,Atlanta,GA,30308,Advertising,
House District 26,Meghan Lukens,60.35,6/12/25,Mailchimp,Atlanta,GA,30308,Advertising,
House District 26,Meghan Lukens,60.35,7/14/25,Mailchimp,Atlanta,GA,30308,Consultant & Professional Services,
House District 26,Meghan Lukens,60.35,8/11/25,Mailchimp,Atlanta,GA,30308,Consultant & Professional Services,
House District 26,Meghan Lukens,60.35,9/11/25,Mailchimp,Atlanta,GA,30308,Consultant & Professional Services,
House District 26,Meghan Lukens,60.35,12/11/24,Mailchimp,Atlanta,GA,30308,Advertising,
House District 26,Meghan Lukens,60.35,10/14/25,Mailchimp,Atlanta,GA,30308,Consultant & Professional Services,
House District 26,Meghan Lukens,60.35,11/12/25,Mailchimp,Atlanta,GA,30308,Consultant & Professional Services,
House District 26,Meghan Lukens,60.35,12/11/25,Mailchimp,Atlanta,GA,30308,Advertising,
House District 06,Sean Camacho,60.3,12/1/25,Amazon,Seattle,WA,98109,Office Equipment & Supplies,
House District 62,Evans Gonzalez,60.25,3/13/26,Staples,Pueblo,CO,81008,Advertising,Business Cards
House District 29,Lori Goldstein,60.16,1/19/25,Actblue Technical Services,Somerville,MA,02144,Fundraising Expenses,Actblue Contribution Processing Fee
House District 10,Junie Joseph,60.08,9/13/24,Uber Technologies,San Fransisco,CO,94103,Travel & Lodging,Traveling From Airport To Hotel Conference Cbcf
House District 17,Regina English,60,12/13/24,Grammarly,San Francisco,CA,94104,Office Equipment & Supplies,Speech Editing Service
House District 28,David Rein,60,9/30/25,David  Rein,Littleton,CO,80162,Other,"Reimburse Candidate For Payment To The Afl-Cio For The4Th Annual Labor Day Labor Champion Bbq
925 S Niagara St
Suite 600
Denver, Co 80224"
House District 30,Rebekah Stewart,60,1/27/25,Jefferson County Democratic Party,Lakewood,CO,80226,Other,Italian Feast Tickets
House District 31,Gabriel Cervantes,60,12/8/25,Aflcio,,CO,,"Food, Beverages and Meals",Aflcio Bba
House District 36,Michael Carter,60,8/25/25,Jamie  Jackson,Aurora,CO,80044,"Food, Beverages and Meals",Lunch Split
House District 48,Carlos Barron,60,2/24/25,7-Eleven,Fort Lupton,CO,80621,Other,7652 ∑ Vehicle Gas
House District 48,Carlos Barron,60,5/12/25,Safeway,Fort Lupton,CO,80621,Other,7652 ∑ Vehicle Gas
House District 48,Carlos Barron,60,9/15/25,Safeway,Fort Lupton,CO,80621,Other,7652 ∑ Vehicle Gas
House District 48,Carlos Barron,60,9/25/25,Safeway,Fort Lupton,CO,80621,Other,7652 ∑ Vehicle Gas
House District 48,Carlos Barron,60,4/13/26,7-Eleven,Fort Lupton,CO,80621,Other,7652 ∑ Vehicle Gas
House District 52,Yara Zokaie,60,10/28/24,Jonah Salehi,Fort Collins,CO,80526,Consultant & Professional Services,
House District 53,Andy Boesenecker,60,3/28/25,E470,Aurora,CO,80018,Travel & Lodging,
House District 54,Jason Bias,60,10/30/25,Designcrowd Pty Ltd,Surry Hills,NE,2010,Advertising,Purchased Logo For Marketing And Advertising.
House District 56,Chris Richardson,60,10/6/25,The Fence Post,Belle Fourche,SD,57717,Miscellaneous,1 Year Subscription-The Fence Post (Ag News)
House District 63,Dusty Johnson,60,2/14/25,Morgan County Republican Central Committee,Weldona,CO,80653,Other,6810 ∑ Registration Fees
House District 53,Andy Boesenecker,59.87,3/12/25,Conoco,Longmont,CO,80504,Travel & Lodging,Gas
House District 17,Regina English,59.59,8/27/25,P F Chang'S,Colorado Springs,CO,80920,"Food, Beverages and Meals",Campaign Meeting Dinner
House District 17,Regina English,59.49,6/21/25,Best Buy,Colorado Springs,CO,80920,Office Equipment & Supplies,Campaign Supplies
House District 17,Chauncy Johnson,59.29,12/7/25,Actblue Technical Services,Boston,MA,02196-2017,Other,Processing Fee
House District 33,Heidi Henkel,59.29,11/30/25,Actblue Technical Services,Boston,MA,02196-2017,Bank Fees,
House District 27,Danielle Varda,59.28,6/30/25,Act Blue,Cambridge,CO,02138,Bank Fees,
House District 34,Jenny Willford,59.07,8/21/25,Target,Thornton,CO,80233,Miscellaneous,
House District 48,Carlos Barron,59,3/10/25,Safeway,Fort Lupton,CO,80621,Other,7652 ∑ Vehicle Gas
House District 48,Carlos Barron,59,3/17/25,Safeway,Fort Lupton,CO,80621,Other,7652 ∑ Vehicle Gas
House District 48,Carlos Barron,59,6/6/25,Safeway,Fort Lupton,CO,80621,Other,7652 ∑ Vehicle Gas
House District 03,Gena Ozols,58.93,12/9/25,Office Depot,Denver,CO,80222,Fundraising Expenses,
House District 53,Andy Boesenecker,58.87,3/4/25,Conoco,Longmont,CO,80504,Travel & Lodging,Gas
House District 53,Andy Boesenecker,58.7,3/11/25,Safeway,Fort Collins,CO,80526,Travel & Lodging,
House District 23,Alexis Hoffkling,58.69,9/17/25,Actblue,Somerville,MA,02144,Fundraising Expenses,
House District 53,Andy Boesenecker,58.48,4/10/25,Safeway,Fort Collins,CO,80526,Travel & Lodging,Gas
House District 07,Jennifer Bacon,58.47,10/28/25,Uber Technologies,San Fransisco,CA,94103,Travel & Lodging,Ncel Salt Lake City
House District 19,Jillaire McMillan,58.44,9/21/25,Act Blue Techinical Services,West Somerville,MA,2144,Fundraising Expenses,
House District 56,Chris Richardson,58.44,12/15/25,Amazon,Seattle,WA,98109,Office Equipment & Supplies,Office Storage
House District 53,Andy Boesenecker,58.35,4/30/25,Safeway,Fort Collins,CO,80526,Travel & Lodging,Gas
House District 26,Meghan Lukens,58.28,12/21/25,Actbluetechnicalservices,Somerville,MA,02144,Fundraising Expenses,
House District 14,Ava Flanell,58.15,12/29/25,Anedot,New Orleans,LA,70117,Other,7820 ∑ Merchant Account Fees
House District 09,Monica VanBuskirk,58.1,12/14/25,Act Blue,Somerville,MA,02144,Fundraising Expenses,Fees Paid On Contribution Disbursement Number: 401794444
House District 48,Carlos Barron,58,12/18/24,Th'S Express,Fort Lupton,CO,80621,Other,7652 ∑ Vehicle Gas
House District 54,Jason Bias,57.9,2/25/26,Canva Us Inc.,Austin,TX,78702,Advertising,Palm Cards
House District 04,Cecelia Espenoza,57.83,8/5/25,Zenpayroll Inc (Dba Gusto),San Francisco,CA,94107,Employee Services,
House District 04,Cecelia Espenoza,57.83,9/4/25,Zenpayroll Inc (Dba Gusto),San Francisco,CA,94107,Employee Services,
House District 04,Cecelia Espenoza,57.83,10/3/25,Zenpayroll Inc (Dba Gusto),San Francisco,CA,94107,Employee Services,
House District 04,Cecelia Espenoza,57.83,11/5/25,Zenpayroll Inc (Dba Gusto),San Francisco,CA,94107,Employee Services,
House District 36,Michael Carter,57.77,7/2/25,"Google, Inc.",Mountain View,CA,94043,Office Equipment & Supplies,"Google Apps For Work, Email"
House District 43,"Robert ""Bob"" Marshall",57.77,12/8/24,Actblue,Somerville,MA,02144,Fundraising Expenses,
House District 07,Jennifer Bacon,57.63,11/18/25,Uber Technologies,San Fransisco,CA,94103,Travel & Lodging,Ncsl Capitol Forum - D.C.
