Office,candidate_name,Party,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
Attorney General,Jena Griswold,Democratic,540.98,7/18/25,Viceroy Snowmass,Snowmass Village,CO,81615,Travel & Lodging,Lodging
Governor,Michael Bennet,Democratic,540,9/30/25,Sydney  Gart,Louisville,CO,80027,Travel & Lodging,Reimbursement-Mileage
Governor,Greg Lopez,Unaffiliated,539.29,9/30/25,Anedot,Atlanta,GA,30309,Bank Fees,Anedot Fees July 1-Sept 30
Attorney General,Michael Dougherty,Democratic,537.5,10/10/25,Sara Monteith Photos,Lakewood,CO,80228,Consultant & Professional Services,
Governor,Barb Kirkmeyer,Republican,537.11,9/9/25,Anedot,New Orleans,LA,70117,Other,7820 ∑ Merchant Account Fees
Governor,Victor Marx,Republican,534.41,11/28/25,Home2 Suites,Grand Junction,CO,81505,Travel & Lodging,
Governor,Victor Marx,Republican,534.41,11/28/25,Home2 Suites,Grand Junction,CO,81505,Travel & Lodging,
Governor,Victor Marx,Republican,534.41,11/28/25,Home2 Suites,Grand Junction,CO,81505,Travel & Lodging,
Governor,Victor Marx,Republican,534.41,11/28/25,Home2 Suites,Grand Junction,CO,81505,Travel & Lodging,
Governor,Barb Kirkmeyer,Republican,534.4,12/29/25,Anedot,New Orleans,LA,70117,Other,7820 ∑ Merchant Account Fees
Governor,Victor Marx,Republican,531.84,10/27/25,Marriott Hotels,Dallas,TX,75201,Travel & Lodging,
Governor,Michael Bennet,Democratic,529.98,10/15/25,United Airlines,Chicago,IL,60666,Travel & Lodging,Airfare
Attorney General,Jena Griswold,Democratic,528,5/20/25,Pinnacol Assurance,Denver,CO,80230,Other,Workers Comp Insurance
Attorney General,David Seligman,Democratic,527.73,12/28/25,Actblue Technical Services,West Somerville,MA,02144,Fundraising Expenses,Processing Fees
Attorney General,Jena Griswold,Democratic,525.75,4/17/25,Actblue Technical Services,West Somerville,MA,02144,Fundraising Expenses,Credit Card Processing Fee
Governor,Michael Bennet,Democratic,518.49,11/22/25,United Airlines,Chicago,IL,60666,Travel & Lodging,Airfare
Governor,Michael Bennet,Democratic,518.48,11/14/25,"Southwest Airlines, Inc.",Dallas,TX,75235,Travel & Lodging,Airfare
State Treasurer,Jeff Bridges,Democratic,516.17,6/22/25,Actblue,Somerville,MA,02144,Bank Fees,
Governor,Michael Bennet,Democratic,516.02,6/5/25,The Center,Denver,CO,80218,Other,Denver Pride Parade
Governor,Victor Marx,Republican,515.49,10/23/25,American Airlines,Fort Worth,TX,76155,Travel & Lodging,
Attorney General,Hetal Doshi,Democratic,515,7/15/25,Numero,Costa Mesa,CA,92626,Fundraising Expenses,
Governor,Barb Kirkmeyer,Republican,514.41,10/2/25,Patriot Pathways Llc,Tampa,FL,33615,Other,6141 ∑ Space Buys
Attorney General,Jena Griswold,Democratic,514,12/31/25,Nathaniel  Buxton,Denver,CO,80202,Travel & Lodging,Mileage Reimbursement
Attorney General,Michael Dougherty,Democratic,513.47,11/6/25,Getty Images,Seattle,WA,98104,Other,Images
Governor,Michael Bennet,Democratic,513.46,7/21/25,Glenwood Springs Cedar Lodge,Glenwood Springs,CO,81601,Travel & Lodging,Lodging
Governor,Phil Weiser,Democratic,508.86,9/29/25,Pat J Blumenthal,Denver,CO,80201,Other,Paid Canvassing
Governor,Michael Bennet,Democratic,508.48,11/9/25,"Southwest Airlines, Inc.",Dallas,TX,75235,Travel & Lodging,Airfare
State Treasurer,Jeff Bridges,Democratic,507.65,6/15/25,Actblue,Somerville,MA,02144,Bank Fees,
Attorney General,Michael Dougherty,Democratic,500,5/17/25,Colorado Democratic Party,Denver,CO,80203,Other,Obama Gala
Attorney General,Michael Dougherty,Democratic,500,7/26/25,Adams County Democratic Party (A.C.D.C.C),Westminster,CO,80031,Other,Event Fees
Attorney General,Michael Dougherty,Democratic,500,10/17/25,Broc  Hunter,Denver,CO,80221,Consultant & Professional Services,
Attorney General,David Seligman,Democratic,500,6/30/25,Amtrust Financial Services Inc.,Cleveland,OH,44101,Miscellaneous,Insurance
Governor,Michael Bennet,Democratic,500,7/22/25,Arnold & Porter Kaye Scholer Llp,Denver,CO,80202,Fundraising Expenses,Facility/Room Rental
Governor,Michael Bennet,Democratic,500,9/2/25,Los 3 Garcias Mexican Restaurant,Arvada,CO,80003,"Food, Beverages and Meals",Event - Food/Drink
Governor,Michael Bennet,Democratic,500,10/27/25,Le Bilboquet,Denver,CO,80206,"Food, Beverages and Meals",Event - Food/Drink
Governor,Scott Bottoms,Republican,500,6/23/25,Multitude Media,Colorado Springs,CO,80922,Consultant & Professional Services,
Governor,Scott Bottoms,Republican,500,11/5/25,Corey  Gibson,Selah,WA,98942,Consultant & Professional Services,
Governor,Scott Bottoms,Republican,500,11/12/25,Corey  Gibson,Selah,WA,98942,Consultant & Professional Services,
Governor,Victor Marx,Republican,500,11/24/25,S And K Parks And Event Center,Delta,CO,81416,Other,Venue Fee
Secretary of State,Jessie Danielson,Democratic,500,7/22/25,Jessie Danielson Pac,Wheat Ridge,CO,80034,Contributions,
Secretary of State,Jessie Danielson,Democratic,500,10/31/25,Colorado Secretary Of State,Denver,CO,80290,Other,Invoice 2025E000389
Secretary of State,Amanda Gonzalez,Democratic,500,3/10/25,Libra Labs Llc,Falls Church,VA,22043,Consultant & Professional Services,Software
Secretary of State,Amanda Gonzalez,Democratic,500,4/9/25,Libra Labs Llc,Falls Church,VA,22043,Consultant & Professional Services,Software
Secretary of State,Amanda Gonzalez,Democratic,500,5/6/25,Grassroots Analytics,Washington,DC,20001,Consultant & Professional Services,Consulting / Communications
Secretary of State,Amanda Gonzalez,Democratic,500,5/9/25,Libra Labs Llc,Falls Church,VA,22043,Consultant & Professional Services,Software
Secretary of State,Amanda Gonzalez,Democratic,500,5/30/25,Grassroots Analytics,Washington,DC,20001,Consultant & Professional Services,Consulting / Communications
Secretary of State,Amanda Gonzalez,Democratic,500,6/9/25,Libra Labs Llc,Falls Church,VA,22043,Consultant & Professional Services,Software
Secretary of State,Amanda Gonzalez,Democratic,500,6/26/25,Grassroots Analytics,Washington,DC,20001,Consultant & Professional Services,Consulting / Communications
Secretary of State,Amanda Gonzalez,Democratic,500,8/4/25,Libra Labs Llc,Falls Church,VA,22043,Consultant & Professional Services,Software
Secretary of State,Amanda Gonzalez,Democratic,500,8/18/25,Grassroots Analytics,Washington,DC,20001,Consultant & Professional Services,Consulting / Communications
Secretary of State,Amanda Gonzalez,Democratic,500,10/20/25,Grassroots Analytics,Washington,DC,20001,Consultant & Professional Services,Consulting / Communications
Secretary of State,Amanda Gonzalez,Democratic,500,10/20/25,Grassroots Analytics,Washington,DC,20001,Consultant & Professional Services,Consulting / Communications
Secretary of State,Celest Landry,Colorado Forward Party,500,1/22/26,Shayna  Beckham,Nederland,CO,80466,Consultant & Professional Services,
Secretary of State,Celest Landry,Colorado Forward Party,500,2/8/26,Shayna  Beckham,Nederland,CO,80466,Consultant & Professional Services,
State Treasurer,Jeff Bridges,Democratic,500,7/21/25,Ngp,Washington,DC,20005,Office Equipment & Supplies,
State Treasurer,Jeff Bridges,Democratic,500,10/17/25,Ngp,Washington,DC,20005,Office Equipment & Supplies,
State Treasurer,Jeff Bridges,Democratic,500,11/10/25,Ngp,Washington,DC,20005,Office Equipment & Supplies,
Attorney General,Jena Griswold,Democratic,496.96,6/6/25,Southwest Airlines,Dallas,TX,75235,Travel & Lodging,Airfare
Attorney General,Jena Griswold,Democratic,495.48,5/12/25,Hilton Hotels,Mclean,VA,22102,Travel & Lodging,Lodging
Governor,Phil Weiser,Democratic,491.07,11/13/25,Switchboard,Washington,DC,20033,Fundraising Expenses,Texting
Attorney General,Jena Griswold,Democratic,490.58,7/13/25,Actblue Technical Services,West Somerville,MA,02144,Fundraising Expenses,Credit Card Processing Fee
Governor,Michael Bennet,Democratic,490.07,12/31/25,Sydney  Gart,Louisville,CO,80027,"Food, Beverages and Meals",Reimbursement-Event Catering
Governor,Scott Bottoms,Republican,490,10/24/25,Same Day Processing,Hudson,WI,54016,Consultant & Professional Services,Compliance Consulting
Attorney General,David Seligman,Democratic,489.77,10/16/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll Taxes
Governor,Michael Bennet,Democratic,489.69,8/20/25,"Golden State Strategies, Llc",Santa Monica,CA,90403,"Food, Beverages and Meals",Reimbursement-Catering
Governor,Victor Marx,Republican,489,10/20/25,United States Postal Service,Florence,CO,81226,Other,Po Box
Attorney General,Jena Griswold,Democratic,487.41,4/24/25,Actblue Technical Services,West Somerville,MA,02144,Fundraising Expenses,Credit Card Processing Fee
Attorney General,David Seligman,Democratic,482.74,11/23/25,Actblue Technical Services,West Somerville,MA,02144,Fundraising Expenses,Processing Fees
Attorney General,Michael Dougherty,Democratic,482.61,11/30/25,Act Blue,Somerville,MA,02144-3132,Fundraising Expenses,
Governor,Phil Weiser,Democratic,481.98,1/27/25,Vistaprint,Waltham,MA,02451,Office Equipment & Supplies,Envelopes
Governor,Michael Bennet,Democratic,480.79,6/23/25,United Airlines,Chicago,IL,60666,Travel & Lodging,Airfare
Governor,Victor Marx,Republican,480.48,10/23/25,American Airlines,Fort Worth,TX,76155,Travel & Lodging,
State Treasurer,Jeff Bridges,Democratic,480,12/1/25,Numero,Costa Mesa,CA,92626,Fundraising Expenses,
Attorney General,Hetal Doshi,Democratic,476.05,6/16/25,Numero,Costa Mesa,CA,92626,Fundraising Expenses,
Attorney General,Jena Griswold,Democratic,472.4,6/30/25,Viceroy Snowmass,Snowmass Village,CO,81615,Travel & Lodging,Lodging
CU_District 06,Ilana Spiegel,Democratic,470.62,6/30/25,Act Blue,Somerville,MA,02144,Bank Fees,Cc Processing 4/1 Through 6/30
Governor,Michael Bennet,Democratic,468.48,12/2/25,"Southwest Airlines, Inc.",Dallas,TX,75235,Travel & Lodging,Airfare
Governor,Michael Bennet,Democratic,468.27,11/3/25,Linkedin,Sunnyvale,CA,94085,Employee Services,Job Posting
Governor,Scott Bottoms,Republican,467.24,9/27/25,Scott  Bottoms,Colorado Springs,CO,80923,Travel & Lodging,Hotel Stay For West Slope Tour
Attorney General,Michael Dougherty,Democratic,465.82,8/15/25,The Christie Lodge,Avon,CO,81620,Travel & Lodging,
Attorney General,David Seligman,Democratic,464.84,12/14/25,Actblue Technical Services,West Somerville,MA,02144,Fundraising Expenses,Processing Fees
Attorney General,Jena Griswold,Democratic,464.56,8/8/25,United Airlines,Chicago,IL,60606,Travel & Lodging,Airfare
Governor,Scott Bottoms,Republican,462,8/5/25,Patrick  Bradford,,CO,,Consultant & Professional Services,Campaign Consulting
Attorney General,Michael Dougherty,Democratic,460,6/16/25,Ngp Van,Washington,DC,20005,Fundraising Expenses,
State Treasurer,Jeff Bridges,Democratic,459.69,9/30/25,Actblue,Somerville,MA,02144,Bank Fees,
Governor,Michael Bennet,Democratic,458.79,6/13/25,Attitude New York,Long Island City,NY,11101,Travel & Lodging,Ground Transportation
Governor,Phil Weiser,Democratic,458.72,11/12/25,Numero,Costa Mesa,CA,92626,Fundraising Expenses,Merchant Fees
Governor,Phil Weiser,Democratic,457,2/14/25,Pinnacol Assurance,Denver,CO,80256,Employee Services,Insurance
Governor,Michael Bennet,Democratic,455.53,10/21/25,Attitude New York,Long Island City,NY,11101,Travel & Lodging,Ground Transportation
Attorney General,David Seligman,Democratic,454.27,7/20/25,Actblue Technical Services,West Somerville,MA,02144,Fundraising Expenses,Processing Fees
Governor,Michael Bennet,Democratic,454.07,12/10/25,Cheese Meat Board,Denver,CO,80205,"Food, Beverages and Meals",Event - Food/Drink
Governor,Greg Lopez,Unaffiliated,454.07,6/12/25,Ihg Holiday Inn Express,Glenwood Springs,CO,81601,Travel & Lodging,Hotel-Glenwood Springs 6/10-6/12
State Treasurer,Jeff Bridges,Democratic,453.33,12/14/25,Actblue,Somerville,MA,02144,Bank Fees,
Governor,Barb Kirkmeyer,Republican,452.36,11/3/25,Anedot,New Orleans,LA,70117,Other,7820 ∑ Merchant Account Fees
Governor,Michael Bennet,Democratic,451.44,12/10/25,Marat  Washburn,Louisville,CO,80027,Travel & Lodging,Reimbursement Parking
Governor,Michael Bennet,Democratic,450.96,10/8/25,Hotels.Com,Dallas,TX,75240,Travel & Lodging,Lodging
Governor,Scott Bottoms,Republican,450,7/28/25,Small Business Consulting,Colorado Springs,CO,80903,Consultant & Professional Services,Campaign Consulting
Governor,Phil Weiser,Democratic,450,10/3/25,Bumperactive.Com,Austin,TX,78723,Other,Software
State Treasurer,Jeff Bridges,Democratic,449.92,7/3/25,The Ups Store,Denver,CO,80205,Office Equipment & Supplies,
State Treasurer,Jeff Bridges,Democratic,449.61,4/20/25,Actblue,Somerville,MA,02144,Bank Fees,
Governor,Michael Bennet,Democratic,449.33,5/23/25,United Airlines,Chicago,IL,60666,Travel & Lodging,Airfare
Governor,Michael Bennet,Democratic,446.1,9/15/25,Montecito Inn,Santa Barbara,CA,93108,Travel & Lodging,Lodging
Attorney General,Jena Griswold,Democratic,443.12,9/21/25,Actblue Technical Services,West Somerville,MA,02144,Fundraising Expenses,Credit Card Processing Fee
State Treasurer,Jeff Bridges,Democratic,440.48,6/8/25,Actblue,Somerville,MA,02144,Bank Fees,
Governor,Michael Bennet,Democratic,438.32,7/17/25,Expedia.Com,Atlanta,GA,30301,Travel & Lodging,Travel
Governor,Michael Bennet,Democratic,437.7,7/21/25,Enterprise Rent-A-Car (Corporate Hq),Saint Louis,MO,63105,Travel & Lodging,Transportation
Attorney General,David Seligman,Democratic,437.31,11/16/25,Actblue Technical Services,West Somerville,MA,02144,Fundraising Expenses,Processing Fees
Bd. Ed. District 03,Sherri M Wright,Republican,437.18,11/17/25,Warwick Denver Hotel,Denver,CO,80203,Travel & Lodging,
Attorney General,Michael Dougherty,Democratic,437.13,11/2/25,Act Blue,Somerville,MA,02144-3132,Fundraising Expenses,
Governor,Victor Marx,Republican,434.8,10/31/25,Master Printers,Canon City,CO,81212,Fundraising Expenses,Envelopes
Governor,Victor Marx,Republican,434.8,12/11/25,Master Printers,Canon City,CO,81212,Fundraising Expenses,Envelopes
Governor,Phil Weiser,Democratic,433.75,12/17/25,Clements Center,Lakewood,CO,80214,Fundraising Expenses,Event Space Rental
State Treasurer,Jeff Bridges,Democratic,431.81,9/28/25,Actblue,Somerville,MA,02144,Bank Fees,
Attorney General,Jena Griswold,Democratic,431.7,4/29/25,Actblue Technical Services,West Somerville,MA,02144,Fundraising Expenses,Credit Card Processing Fee
Attorney General,Jena Griswold,Democratic,431.45,12/21/25,Actblue Technical Services,West Somerville,MA,02144,Fundraising Expenses,Credit Card Processing Fee
Attorney General,Hetal Doshi,Democratic,431.43,6/22/25,Actblue,Somerville,MA,02144,Fundraising Expenses,
Governor,Michael Bennet,Democratic,431.3,10/3/25,United Airlines,Chicago,IL,60666,Travel & Lodging,Airfare
Governor,Michael Bennet,Democratic,431.3,10/7/25,United Airlines,Chicago,IL,60666,Travel & Lodging,Airfare
Governor,Michael Bennet,Democratic,431.3,10/9/25,United Airlines,Chicago,IL,60666,Travel & Lodging,Airfare
Governor,Michael Bennet,Democratic,431.3,10/13/25,United Airlines,Chicago,IL,60666,Travel & Lodging,Airfare
Governor,Michael Bennet,Democratic,431.3,10/21/25,United Airlines,Chicago,IL,60666,Travel & Lodging,Airfare
Governor,Michael Bennet,Democratic,431.3,10/28/25,United Airlines,Chicago,IL,60666,Travel & Lodging,Airfare
Governor,Michael Bennet,Democratic,431.3,10/31/25,United Airlines,Chicago,IL,60666,Travel & Lodging,Airfare
Governor,Michael Bennet,Democratic,431.3,11/4/25,United Airlines,Chicago,IL,60666,Travel & Lodging,Airfare
Governor,Michael Bennet,Democratic,431.3,11/18/25,United Airlines,Chicago,IL,60666,Travel & Lodging,Airfare
Governor,Michael Bennet,Democratic,431.3,12/1/25,United Airlines,Chicago,IL,60666,Travel & Lodging,Airfare
Governor,Michael Bennet,Democratic,431.3,12/5/25,United Airlines,Chicago,IL,60666,Travel & Lodging,Airfare
Governor,Michael Bennet,Democratic,431.3,12/12/25,United Airlines,Chicago,IL,60666,Travel & Lodging,Airfare
Attorney General,Michael Dougherty,Democratic,430.77,9/21/25,Act Blue,Somerville,MA,02144-3132,Fundraising Expenses,
Governor,Michael Bennet,Democratic,429.49,12/2/25,"American Airlines, Inc.",Fort Worth,TX,76155,Travel & Lodging,Air Travel
Governor,Michael Bennet,Democratic,428.49,5/19/25,United Airlines,Chicago,IL,60666,Travel & Lodging,Airfare
Attorney General,Hetal Doshi,Democratic,428.05,11/2/25,Actblue,Somerville,MA,02144,Fundraising Expenses,
Attorney General,Michael Dougherty,Democratic,427.72,10/19/25,Act Blue,Somerville,MA,02144-3132,Fundraising Expenses,
Governor,Michael Bennet,Democratic,427.45,6/23/25,Flower Child,Denver,CO,80206,"Food, Beverages and Meals",Event - Food/Drink
State Treasurer,Jeff Bridges,Democratic,424.21,9/21/25,Actblue,Somerville,MA,02144,Bank Fees,
Governor,Michael Bennet,Democratic,423.23,7/22/25,Conscience Bay Company Llc,Boulder,CO,80302,"Food, Beverages and Meals",Event - Food/Drink
Secretary of State,Amanda Gonzalez,Democratic,423.12,8/18/25,Corazon Printing,Broomfield,CO,80020,Advertising,Printing
Governor,Michael Bennet,Democratic,420,10/9/25,Laz Parking,Denver,CO,80202,Travel & Lodging,Parking
Attorney General,Michael Dougherty,Democratic,419.27,12/31/25,Act Blue,Somerville,MA,02144-3132,Fundraising Expenses,
Governor,Phil Weiser,Democratic,418.8,5/30/25,Numero,Costa Mesa,CA,92626,Fundraising Expenses,Merchant Fees
Attorney General,Hetal Doshi,Democratic,418.79,7/6/25,Actblue,Somerville,MA,02144,Fundraising Expenses,
Governor,Barb Kirkmeyer,Republican,418.23,10/2/25,Patriot Pathways Llc,Tampa,FL,33615,Other,7370 ∑ Audio/Video Equipment
Governor,Phil Weiser,Democratic,418.18,6/23/25,Numero,Costa Mesa,CA,92626,Fundraising Expenses,Merchant Fees
Governor,Michael Bennet,Democratic,416.97,8/7/25,United Airlines,Chicago,IL,60666,Travel & Lodging,Airfare
Governor,Michael Bennet,Democratic,415.72,11/16/25,Jimmy John'S,Denver,CO,80206,"Food, Beverages and Meals",Event - Food/Drink
Governor,Barb Kirkmeyer,Republican,415.2,12/22/25,Anedot,New Orleans,LA,70117,Other,7820 ∑ Merchant Account Fees
Governor,Michael Bennet,Democratic,414.6,9/30/25,Jill  Anschutz,Denver,CO,80206,"Food, Beverages and Meals",Reimbursement-Catering
Governor,Barb Kirkmeyer,Republican,413.63,9/12/25,Wizbang,Commerce City,CO,80022,Other,6621 ∑ Signs
Attorney General,Jena Griswold,Democratic,412.38,10/17/25,United Airlines,Chicago,IL,60606,Travel & Lodging,Airfare
Governor,Michael Bennet,Democratic,410.87,5/20/25,Zucker,New York,NY,10017,"Food, Beverages and Meals",Event - Food/Drink
Governor,Barb Kirkmeyer,Republican,410,10/20/25,Mailchimp,Atlanta,GA,30308,Other,7350 ∑ Email Service
Governor,Barb Kirkmeyer,Republican,410,11/19/25,Mailchimp,Atlanta,GA,30308,Other,7350 ∑ Email Service
Governor,Barb Kirkmeyer,Republican,410,12/18/25,Mailchimp,Atlanta,GA,30308,Other,7350 ∑ Email Service
Attorney General,Jena Griswold,Democratic,408.62,7/30/25,Limelight Snowmass,Snowmass Village,CO,81615,Travel & Lodging,Lodging
Governor,Michael Bennet,Democratic,408.11,7/14/25,Attitude New York,Long Island City,NY,11101,Travel & Lodging,Ground Transportation
Attorney General,Michael Dougherty,Democratic,403.05,10/26/25,Act Blue,Somerville,MA,02144-3132,Fundraising Expenses,
Attorney General,Michael Dougherty,Democratic,400.06,3/9/25,Act Blue,Somerville,MA,02144-3132,Fundraising Expenses,
Governor,Michael Bennet,Democratic,400,11/14/25,Zion Senior And Community Center,Denver,CO,80207,Other,Space Rental
Governor,Michael Bennet,Democratic,400,12/29/25,Yamm,Brussels,,,Office Equipment & Supplies,Software
State Treasurer,Jeff Bridges,Democratic,400,5/9/25,Weststar Management,Denver,CO,80224,Rent & Utilities,
Governor,Michael Bennet,Democratic,398.28,7/29/25,Amalgamated Bank,Washington,DC,20006,Bank Fees,Bank Fees
Attorney General,Michael Dougherty,Democratic,395.1,12/7/25,Act Blue,Somerville,MA,02144-3132,Fundraising Expenses,
Attorney General,Jena Griswold,Democratic,393.76,12/28/25,Actblue Technical Services,West Somerville,MA,02144,Fundraising Expenses,Credit Card Processing Fee
Secretary of State,Celest Landry,Colorado Forward Party,393.59,3/11/26,Corazon Printing,Broomfield,CO,80020,Advertising,
Governor,Victor Marx,Republican,391.17,10/14/25,Godaddy,Tempe,AZ,85284,Other,Website Fees
Attorney General,Michael Dougherty,Democratic,390.24,12/14/25,Act Blue,Somerville,MA,02144-3132,Fundraising Expenses,
Attorney General,David Seligman,Democratic,389.73,8/17/25,Actblue Technical Services,West Somerville,MA,02144,Fundraising Expenses,Processing Fees
Governor,Michael Bennet,Democratic,388.69,7/15/25,Flik Hospitality Group,Rye Brook,NY,10573,"Food, Beverages and Meals",Event - Food/Drink
Attorney General,Jena Griswold,Democratic,387.27,4/29/25,Gusto,Denver,CO,80202,Employee Services,Payroll Taxes
Governor,Michael Bennet,Democratic,387.25,10/6/25,Rosenberg'S Bagels,Denver,CO,80205,"Food, Beverages and Meals",Event - Food/Drink
Governor,Michael Bennet,Democratic,384,10/30/25,Mckinley  Mueller,Denver,CO,80201,Consultant & Professional Services,Consultant
Governor,Michael Bennet,Democratic,384,11/12/25,Mckinley  Mueller,Denver,CO,80201,Consultant & Professional Services,Consultant
Governor,Michael Bennet,Democratic,384,11/25/25,Mckinley  Mueller,Denver,CO,80201,Consultant & Professional Services,Consultant
Governor,Michael Bennet,Democratic,384,12/10/25,Mckinley  Mueller,Denver,CO,80201,Consultant & Professional Services,Consultant
Governor,Victor Marx,Republican,384,11/12/25,Rebrandly.Com,Dublin,XX,0,Other,Website Fees
Attorney General,Michael Dougherty,Democratic,382.8,12/21/25,Act Blue,Somerville,MA,02144-3132,Fundraising Expenses,
Governor,Michael Bennet,Democratic,382,6/6/25,The Truffle Cheese Shop,Denver,CO,80206,"Food, Beverages and Meals",Event - Food/Drink
Governor,Michael Bennet,Democratic,381.93,7/3/25,Attitude New York,Long Island City,NY,11101,Travel & Lodging,Ground Transportation
Attorney General,Jena Griswold,Democratic,381.9,4/11/25,Corazon Printing,Broomfield,CO,80020,Fundraising Expenses,Bres
Attorney General,Michael Dougherty,Democratic,381.53,7/6/25,Act Blue,Somerville,MA,02144-3132,Fundraising Expenses,
Governor,Michael Bennet,Democratic,381.49,11/14/25,United Airlines,Chicago,IL,60666,Travel & Lodging,Airfare
Governor,Phil Weiser,Democratic,380.91,9/23/25,Numero,Costa Mesa,CA,92626,Fundraising Expenses,Merchant Fees
Governor,Michael Bennet,Democratic,380,11/24/25,"Mission Control, Inc.",Glastonbury,CT,06033,Advertising,Printing
Attorney General,David Seligman,Democratic,378.91,10/30/25,Shane  Wittstruck,Denver,CO,80222,Employee Services,Mileage Reimbursement
Governor,Greg Lopez,Unaffiliated,374.74,7/25/25,Days Inn,Gunnison,CO,81230,Travel & Lodging,Hotel Rooms X2
Governor,Michael Bennet,Democratic,374.29,9/10/25,United Airlines,Chicago,IL,60666,Travel & Lodging,Airfare
Governor,Michael Bennet,Democratic,373.3,11/25/25,United Airlines,Chicago,IL,60666,Travel & Lodging,Airfare
Governor,Michael Bennet,Democratic,373.27,8/11/25,Schoolyard Beer Garden,Denver,CO,80204,"Food, Beverages and Meals",Event - Food/Drink
Attorney General,David Seligman,Democratic,371.67,10/2/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll
Secretary of State,Amanda Gonzalez,Democratic,370.66,3/30/25,Actblue Technical Services,Somerville,MA,02144,Bank Fees,Merchant Processing Fee
Attorney General,Michael Dougherty,Democratic,369.5,6/9/25,Tyrolean Lodge Llc,Aspen,CO,81611,Travel & Lodging,
Attorney General,Hetal Doshi,Democratic,369.25,11/9/25,Actblue,Somerville,MA,02144,Fundraising Expenses,
Governor,Phil Weiser,Democratic,367.55,1/27/25,Usps,Denver,CO,80202,Office Equipment & Supplies,Postage
Attorney General,Hetal Doshi,Democratic,367.14,8/17/25,Actblue,Somerville,MA,02144,Fundraising Expenses,
Attorney General,Jena Griswold,Democratic,366.07,4/22/25,Limelight Hotel Aspen,Aspen,CO,81611,Travel & Lodging,Lodging
Governor,Victor Marx,Republican,365.65,11/24/25,Mesa County,Grand Junction,CO,81505,Other,Venue Fee
Governor,Michael Bennet,Democratic,365.55,8/28/25,Amalgamated Bank,Washington,DC,20006,Bank Fees,Bank Fees
Governor,Michael Bennet,Democratic,364.79,5/22/25,Zucker,New York,NY,10017,"Food, Beverages and Meals",Event - Food/Drink
Governor,Michael Bennet,Democratic,364.79,5/29/25,Zucker,New York,NY,10017,"Food, Beverages and Meals",Event - Food/Drink
Governor,Michael Bennet,Democratic,364.79,6/5/25,Zucker,New York,NY,10017,"Food, Beverages and Meals",Event - Food/Drink
Governor,Michael Bennet,Democratic,364.79,6/20/25,Zucker,New York,NY,10017,"Food, Beverages and Meals",Event - Food/Drink
Governor,Michael Bennet,Democratic,364.79,7/17/25,Zucker,New York,NY,10017,"Food, Beverages and Meals",Event - Food/Drink
Governor,Michael Bennet,Democratic,364.79,7/29/25,Zucker,New York,NY,10017,"Food, Beverages and Meals",Event - Food/Drink
Governor,Michael Bennet,Democratic,364.79,7/31/25,Zucker,New York,NY,10017,"Food, Beverages and Meals",Event - Food/Drink
Governor,Michael Bennet,Democratic,364.79,8/7/25,Zucker,New York,NY,10017,"Food, Beverages and Meals",Event - Food/Drink
Governor,Michael Bennet,Democratic,364.79,8/21/25,Zucker,New York,NY,10017,"Food, Beverages and Meals",Event - Food/Drink
Governor,Michael Bennet,Democratic,364.79,8/28/25,Zucker,New York,NY,10017,"Food, Beverages and Meals",Event - Food/Drink
Governor,Michael Bennet,Democratic,364.79,9/18/25,Zucker,New York,NY,10017,"Food, Beverages and Meals",Event - Food/Drink
Governor,Michael Bennet,Democratic,364.79,9/25/25,Zucker,New York,NY,10017,"Food, Beverages and Meals",Event - Food/Drink
Governor,Michael Bennet,Democratic,364.79,10/2/25,Zucker,New York,NY,10017,"Food, Beverages and Meals",Event - Food/Drink
Governor,Michael Bennet,Democratic,364.79,10/9/25,Zucker,New York,NY,10017,"Food, Beverages and Meals",Event - Food/Drink
Governor,Michael Bennet,Democratic,364.79,10/16/25,Zucker,New York,NY,10017,"Food, Beverages and Meals",Event - Food/Drink
Governor,Michael Bennet,Democratic,364.79,10/23/25,Zucker,New York,NY,10017,"Food, Beverages and Meals",Event - Food/Drink
Governor,Michael Bennet,Democratic,364.79,11/5/25,Zucker,New York,NY,10017,"Food, Beverages and Meals",Event - Food/Drink
Governor,Michael Bennet,Democratic,364.79,11/12/25,Zucker,New York,NY,10017,"Food, Beverages and Meals",Event - Food/Drink
Governor,Michael Bennet,Democratic,364.79,12/17/25,Zucker,New York,NY,10017,"Food, Beverages and Meals",Event - Food/Drink
Governor,Phil Weiser,Democratic,364.76,9/2/25,Numero,Costa Mesa,CA,92626,Fundraising Expenses,Merchant Fees
Attorney General,David Seligman,Democratic,364.44,6/22/25,Actblue Technical Services,West Somerville,MA,02144,Fundraising Expenses,Processing Fees
Governor,Victor Marx,Republican,363.27,10/27/25,Marvin Rentals,Colorado Springs,CO,80915,Other,Tables/Chairs
Governor,Michael Bennet,Democratic,361,8/28/25,Drop Inc,Hinsdale,IL,60521,Office Equipment & Supplies,Software
Governor,Michael Bennet,Democratic,361,12/16/25,Drop Inc,Hinsdale,IL,60521,Office Equipment & Supplies,Software
Attorney General,Jena Griswold,Democratic,360.92,6/20/25,United Airlines,Chicago,IL,60606,Travel & Lodging,Airfare
